구분,건물명,지번주소,도로명주소,동수,층수,세대수,연면적(제곱미터),준공일자,담당자 연락처,데이터기준일자
아파트,해가든 더클래식(구 대주),미산동 350-15,미산로100번길 11,5,20,289 ,68467 ,2009-10-01,031-310-2402,2025-07-14
아파트,힐스테이트,능곡동 775,능곡중앙로 33,8,15,321 ,51296 ,2009-11-13,031-310-2402,2025-07-14
아파트,현진에버빌,능곡동 548,승지로 88,6,15,203 ,32607 ,2010-02-22,031-310-2402,2025-07-14
아파트,신천휴먼시아,신천동 946,시흥대로 1133,7,18,313 ,41325 ,2010-07-29,031-310-2402,2025-07-14
아파트,조양휴캐슬프라자,신천동 765,신천천동로 13,1,13,46 ,6360 ,2010-12-07,031-310-2402,2025-07-14
아파트,우남퍼스트빌2차,능곡동 493,능곡중앙로 120,5,15,236 ,38980 ,2011-08-30,031-310-2402,2025-07-14
아파트,삼환나우빌아파트,신천동 949,시흥대로로1144,8,23,419 ,68069 ,2012-03-06,031-310-2402,2025-07-14
아파트,대우6차푸르지오2단지,죽율동 752,죽율로 36,13,23,769 ,119966 ,2013-10-31,031-310-2402,2025-07-14
아파트,대우6차푸르지오1단지,죽율동 759,죽율로 45-10,20,23,1221 ,177427 ,2014-07-30,031-310-2402,2025-07-14
아파트,호반베르디움센트럴파크,정왕동 2485, 배곧3로 27-8 ,15,26~29,1414 ,193505 ,2015-07-13,031-310-2402,2025-07-14
아파트,SK뷰(배곧),정왕동 2483, 배곧3로 27-7 ,17,25~29,1442 ,205093 ,2015-07-28,031-310-2402,2025-07-14
아파트,목감퍼스트아파트,조남동 257-2,목감둘레로 229-10 ,8,25,625 ,71642 ,2015-08-21,031-310-2402,2025-07-14
아파트,청담아이리스아파트,신천동 706,호현로21번길 17,1,10,32 ,2446 ,2016-05-11,031-310-2403,2025-07-14
아파트,시흥목감LH7단지,조남동 662,목감중앙로 20,6,19,756 ,44815 ,2016-06-02,031-310-2402,2025-07-14
아파트,배곧 골드클래스 아파트(배곧),정왕동 2456,배곧4로 81-13,10,15~25,690 ,90919 ,2016-06-29,031-310-2402,2025-07-14
아파트,LH포레하임,조남동 680,목감중앙로 62,5,25,345 ,48257 ,2016-07-01,031-310-2402,2025-07-14
아파트,LH네이처하임,조남동 720,수풀안길 19-27,8,19~24,592 ,83102 ,2016-07-19,031-310-2402,2025-07-14
아파트,제나하임아파트,하중동 877-3,연성로13번길 5-8,1,9,28 ,2628 ,2016-09-09,031-310-2402,2025-07-14
아파트,신천센트럴아파트,신천동 706-1,호현로21번길 13,1,12,50 ,5161 ,2016-09-22,031-310-2404,2025-07-14
아파트,호반베르디움2차(배곧),정왕동 2501,서울대학로 328,14,24~29,1206 ,161254 ,2016-11-02,031-310-2402,2025-07-14
아파트,목감한양수자인,논곡동 160-59,수인로2421번길 89,7,19~27,536 ,65197 ,2016-11-03,031-310-2402,2025-07-14
아파트,호반베르디움 더 프라임,목감동 406,배미골길 23,7,20~25,580 ,85705 ,2017-02-02,031-310-2402,2025-07-14
아파트,한신더휴센트럴파크,조남동 669,목감남서로 35,7,21~25,693 ,98500 ,2017-02-02,031-310-2402,2025-07-14
아파트,신천팰리스,신천동 705-1,호현로27번길 15,1,10,24 ,2133 ,2017-04-11,031-310-2402,2025-07-14
아파트,LH리벤티움,조남동 678,목감중앙로 45,12,21,944 ,109425 ,2017-07-04,031-310-2402,2025-07-14
아파트,호반베르디움 더 레이크,조남동 660,목감남서로 38,7,20~25,766 ,108931 ,2017-07-18,031-310-2402,2025-07-14
아파트,이지더원1차(배곧),정왕동2383,해송십리로 472-12,9,27,840 ,101098 ,2017-08-11,031-310-2402,2025-07-14
아파트,한라비발디캠퍼스1차(배곧),정왕동 2566,배곧1로 27-15,12,40,2701 ,450728 ,2017-08-23,031-310-2402,2025-07-14
아파트,이지더원2차(배곧),정왕동 2575,서울대학로 100,15,16,904 ,113951 ,2017-10-27,031-310-2402,2025-07-14
아파트,LH은계센트럴타운,은행동 619,은계중앙로 97,11,13~20,1025 ,127042 ,2017-11-01,031-310-2402,2025-07-14
아파트,목감LH13단지,조남동 700,목감둘레로 229-15,6,25,1204 ,64831 ,2017-11-08,031-310-2402,2025-07-14
아파트,호반베르디움 센트로하임(배곧),정왕동2503,배곧4로 106-25,20,29,1647 ,238153 ,2017-11-10,031-310-2402,2025-07-14
아파트,목감그레미움,조남동 682,목감중앙로 65,5,25,413 ,46535 ,2017-11-20,031-310-2402,2025-07-14
아파트,목감 신안인스빌,조남동 676,목감중앙로 36,6,23~25,576 ,87622 ,2017-12-19,031-310-2402,2025-07-14
아파트,목감 레이크푸르지오,산현동 502,목감남서로 92-30,9,25,629 ,72808 ,2018-01-04,031-310-2402,2025-07-14
아파트,시흥배곧한신더휴(배곧),정왕동 2502,배곧4로 106-26,18,29,1358 ,197333 ,2018-01-19,031-310-2402,2025-07-14
아파트,호반베르디움더클래스,조남동 721,수풀안길 19-30,6,23~25,415 ,85971 ,2018-02-14,031-310-2402,2025-07-14
아파트,한라비발디캠퍼스2차(배곧),정왕동 2564,배곧1로 27-16,17,39~40,2695 ,446889 ,2018-02-23,031-310-2402,2025-07-14
아파트,LH가온수플,조남동 663,목감중앙로 19,10,9~25,678 ,97076 ,2018-07-03,031-310-2402,2025-07-14
아파트,LH네이처포레,은행동 632,은계중앙로 140,14,15~29,1594 ,202037 ,2018-07-16,031-310-2402,2025-07-14
아파트,목감호수품애,산현동 514,목감남서로 92-12,6,12~25,590 ,67487 ,2018-09-15,031-310-2402,2025-07-14
아파트,은계우미린더퍼스트,은행동 621,은계중앙로 115,7,19-29,731 ,145838 ,2018-09-18,031-310-2402,2025-07-14
아파트,시흥은계우미린레이크,대야동 679,계수로 19,6,24~29,448 ,71289 ,2018-09-20,031-310-2402,2025-07-14
아파트,한라비발디캠퍼스3차(배곧),정왕동 2558,서울대학로 172-20,6,33~40,1304 ,219748 ,2018-09-20,031-310-2402,2025-07-14
아파트,시흥 은계브리즈힐,은행동 620,은계중앙로 118,10,17~29,835 ,116748 ,2018-09-22,031-310-2402,2025-07-14
아파트,목감 중흥S-클래스,산현동 496,목감남서로 92-15 ,10,16~25,806 ,125922 ,2018-10-29,031-310-2402,2025-07-14
아파트,은계한양수자인더클래스,은행동 661,은계남로 11,10,22~29,1090 ,159868 ,2018-12-27,031-310-2402,2025-07-14
아파트,시흥은계LH7단지,은행동 660,은계중앙로 37,9,13~21,1445 ,88759 ,2018-12-31,031-310-2402,2025-07-14
아파트,배곧 센텀베이1차(배곧),정왕동 2388,해송십리로 472-54,7,26~28,689 ,95481 ,2019-01-10,031-310-2402,2025-07-14
아파트,배곧 센텀베이2차(배곧),정왕동 2459,배곧4로 81-29,9,26~28,540 ,77603 ,2019-01-16,031-310-2402,2025-07-14
아파트,배곧중흥S클래스,정왕동 2381,해송십리로 472-11,20,19~29,1208 ,159868 ,2019-02-22,031-310-2402,2025-07-14
아파트,호반베르디움더숲,산현동 520,목감둘레로 80,12,24~25,968 ,154183 ,2019-04-03,031-310-2402,2025-07-14
아파트,배곧대방노블랜드,정왕동 2460,배곧4로 81-39,11,25~29,1089 ,136763 ,2019-05-07,031-310-2402,2025-07-14
아파트,장현마을2단지 리슈빌더스테이,능곡동 9-1,시흥대로360번길 9,8,23~25,651 ,98294 ,2019-06-28,031-310-2402,2025-07-14
아파트,시흥장현LH4단지,능곡동 190-6,능곡서로 27,4,11~25,996 ,53333 ,2019-07-11,031-310-2402,2025-07-14
아파트,LH네이처뷰,장현동 170-2,시청로 100,6,21~25,620 ,89714 ,2019-09-09,031-310-2402,2025-07-14
아파트,e편한세상 시흥 센텀하임,대야동 692,비둘기공원7길 10,9,20~35,659 ,99524 ,2019-09-27,031-310-2402,2025-07-14
아파트,엘에이치어반리더스,대야동 659,은계중앙로 325,14,15~29,1198 ,167594 ,2019-12-06,031-310-2402,2025-07-14
아파트,시흥은계엘에이치2단지,대야동 658,은계북길 7,3,19~25,820 ,46878 ,2019-12-26,031-310-2402,2025-07-14
아파트,신천코아루웰라움,신천동 953,시흥대로 1124-17,3,22~23,169 ,25516 ,2020-02-27,031-310-2402,2025-07-14
아파트,제일풍경채 더숲,은행동 625,은계중앙로 151,5,17~29,429 ,47210 ,2020-03-23,031-310-2402,2025-07-14
아파트,동원로얄듀크1차,광석동 542,시흥대로 404,5,22~23,447 ,75200 ,2020-04-24,031-310-2402,2025-07-14
아파트,라보나시티,월곶동 991-28,월곶중앙로14번길 68,1,18,286 ,18922 ,2020-05-08,031-310-2402,2025-07-14
아파트,시흥센트럴푸르지오,대야동 693,수인로3312번길 16,10,40~49,2003 ,353325 ,2020-05-28,031-310-2402,2025-07-14
아파트,루벤시아1차,장곡동 920,장곡북로 43,7,21~25,786 ,84662 ,2020-07-03,031-310-2402,2025-07-14
아파트,루벤시아2차,장현동 569,장현장곡로 79,5,19~25,526 ,56248 ,2020-07-03,031-310-2402,2025-07-14
아파트,장현호반써밋,장현동 591,장현순환로 58,9,23~25,712 ,119753 ,2020-07-03,031-310-2402,2025-07-14
아파트,모아미래도에듀포레,장현동 608,장현순환로 81,11,23~25,928 ,107168 ,2020-07-21,031-310-2402,2025-07-14
아파트,장현리슈빌퍼스트클래스,장현동 636,장현순환로 130,10,22~25,891 ,152777 ,2020-07-24,031-310-2402,2025-07-14
아파트,제일풍경채에듀,장현동 632,장현순환로 111,5,24~25,489 ,76983 ,2020-07-24,031-310-2402,2025-07-14
아파트,두산위브더파크,대야동 694,서해안로 1645,15,12~24,1382 ,185740 ,2020-07-31,031-310-2402,2025-07-14
아파트,엘에이치19단지,장곡동 879,동서장곡길 55,3,17~20,671 ,28323 ,2020-09-10,031-310-2402,2025-07-14
아파트,엘에이치17단지,장곡동 901,인선길 39,5,15~25,1292 ,88776 ,2020-10-12,031-310-2402,2025-07-14
아파트,엘에이치아란트리,은행동 662,은계중앙로 8,7,15~26,839 ,99548 ,2020-10-12,031-310-2402,2025-07-14
아파트,엘에이치은계파크자이,은행동 647,은계중앙로 65,17,16~29,1719 ,235323 ,2020-12-03,031-310-2402,2025-07-14
아파트,엘에이치시흥시청역트리플포레,능곡동 864,장현천로 61,7,21,614 ,67585 ,2020-12-07,031-310-2402,2025-07-14
아파트,시흥장현제일풍경채센텀,능곡동 894,장현능곡로 144,7,24~25,698 ,111584 ,2020-12-31,031-310-2402,2025-07-14
아파트,시흥장현금강펜테리움센트럴파크,군자동 819,장현천로 133,6,23~25,590 ,4367 ,2021-01-04,031-310-2402,2025-07-14
아파트,목감지음재파크뷰,목감동 397,솔고개길 47,2,20~25,154 ,10787 ,2021-02-25,031-310-2402,2025-07-14
아파트,월곶역 블루밍더마크,월곶동 1008,월곶중앙로58번길 5-6,2,39,270 ,39262 ,2021-10-15,031-310-2402,2025-07-14
아파트,장현 동원로얄듀크 메트로포레,군자동 827,장현천로 170,5,19~24,345 ,65955 ,2021-12-27,031-310-2402,2025-07-14
아파트,LH트리플센텀,장현동160,시청로 79,8,20,546 ,71291 ,2022-04-15,031-310-2402,2025-07-14
아파트,시흥 센트럴 헤센,월곶동 1064-1,월동중앙로 55,7,25,494 ,71627 ,2022-09-27,031-310-2402,2025-07-14
아파트,유승한내들퍼스트파크,장곡동 936,장현장곡로 10,7,25,676 ,127127 ,2022-11-23,031-310-2402,2025-07-14
아파트,호반써밋더퍼스트오션,정왕동 2712,거북섬남로 45,6,24~29,578 ,87469 ,2022-12-23,031-310-2402,2025-07-14
아파트,영무예다음,장곡동 924,장현장곡로 15,8,25,747 ,118907 ,2022-12-29,031-310-2402,2025-07-14
아파트,호반써밋 더 프라임,정왕동 2732,거북섬남로 77,9,29,826 ,124580 ,2023-01-26,031-310-2402,2025-07-14
아파트,금강펜테리움 오션베이,정왕동 2737,거북섬남로 90,7,28~30,930 ,130893 ,2023-02-22,031-310-2402,2025-07-14
아파트,파라곤 센트럴 오션시티,정왕동 2711,거북섬남로 11,7,29,656 ,101112 ,2023-02-23,031-310-2402,2025-07-14
아파트,군자서희스타힐스,거모동 293,군자로 253번길,15,20,916 ,122416 ,2023-10-31,031-310-2402,2025-07-14
아파트,MS스타리움아파트 1단지 101동,신천동 954,수인로3325번길 51,1,15,56 ,6948 ,2023-11-03,031-310-2402,2025-07-14
아파트,효성해링턴플레이스(목감),논곡동 162-3,수인로 2365,3,23~26,145 ,18820 ,2023-11-29,031-310-2402,2025-07-14
아파트,시흥장현 데시앙,장곡동 942,진말1로 30,6,15~25,534 ,76809 ,2024-02-08,031-310-2402,2025-07-14
아파트,e편한세상 시흥장현 퍼스트베뉴,군자동 821,장현천로 155,4,25,431 ,70276 ,2024-07-29,031-310-2402,2025-07-14
